leading_item_id,following_item_id,value
AANGBULD,DDEXPPXU,33314
AANGBULD,DEWLVASR,328435
AANGBULD,EVBVXETX,5157551
AANGBULD,FITUEHWN,61265
AANGBULD,FTSVTTSR,195052
AANGBULD,GKQIJYDH,21839471
AANGBULD,KJNSOAHR,12683867
AANGBULD,LLHREMKS,68303
AANGBULD,LTOYKIML,342647
AANGBULD,NAQIHUKZ,33314
AANGBULD,NZKBIBNU,280834
AANGBULD,RJGPVEXX,530369
AANGBULD,SAAYMURU,35511
AANGBULD,UQYUIVVR,6403439
AANGBULD,VUAFAIYJ,724632
AANGBULD,WPQXWHYO,12145996
AANGBULD,XIIEJNEE,60582
AANGBULD,ZCELVYQU,179389
AANGBULD,ZGJXVMNI,2863004
AANGBULD,ZKENOUDA,323616
AHMDUILJ,APQGTRMF,50181
AHMDUILJ,ATLDMDBO,39252519
AHMDUILJ,BTMOEMEP,13227917
AHMDUILJ,BUZIIBYG,18229993
AHMDUILJ,DBWLZWNK,238180
AHMDUILJ,DUCMGGNW,858503
AHMDUILJ,HXYSSRXE,5124484
AHMDUILJ,IGDVVKUD,27449
AHMDUILJ,JPBRUTWP,5224416
AHMDUILJ,LRVGFDFM,8415787
AHMDUILJ,QRKRBYJL,2619599
AHMDUILJ,QVLMOEYE,1116188
AHMDUILJ,RAWUKQMJ,3917852
AHMDUILJ,RCBZUSIM,31913
AHMDUILJ,UXSPKBJR,402504
AHMDUILJ,VBYCLTYZ,309252
AHMDUILJ,WBLJNPZQ,210308
AHMDUILJ,WPQXWHYO,12565922
AHMDUILJ,WQMVCOEM,72329
AHMDUILJ,XIIEJNEE,70441
AHMDUILJ,XUOIQPFL,3300985
APQGTRMF,ATLDMDBO,38996647
APQGTRMF,AXULOHBQ,65601
APQGTRMF,BEZYMBBT,3938075
APQGTRMF,BJALXPFS,137368
APQGTRMF,BSRMSVTC,284666
APQGTRMF,BTMOEMEP,12922942
APQGTRMF,DBWLZWNK,212013
APQGTRMF,DJBLNPNC,31913
APQGTRMF,DNMPSKTB,5228250
APQGTRMF,DUCMGGNW,825516
APQGTRMF,FDXPMYGF,30122
APQGTRMF,FRHNWLNI,806301
APQGTRMF,GYHKIVQT,20907868
APQGTRMF,HXYSSRXE,4913297
APQGTRMF,JPBRUTWP,5456480
APQGTRMF,OGAFEHLU,30122
APQGTRMF,OKMBFVKS,1781472
APQGTRMF,OXKURKXR,103335
APQGTRMF,QRKRBYJL,2645939
APQGTRMF,QVLMOEYE,1116188
APQGTRMF,RAWUKQMJ,3844731
APQGTRMF,RCBZUSIM,33314
APQGTRMF,SDWAYPIK,5059406
APQGTRMF,UIFPPCLR,84203
APQGTRMF,VMAQSTJE,70104
